Unnamed: 0,Title,Link,Year,Season,Format,Episodes,EpisodeDuration,Status,Popularity,MeanScore,Favorites,Studios,Source,Genre,Completed,Planning,Current,Dropped
121,121,Kishin Houkou Demonbane (2006),1067/Kishin-Houkou-Demonbane-2006,2006,Spring,TV,12,25 mins,Finished,4214,59%,15,NaN,Visual Novel,"Action,Ecchi,Mecha,Romance",1860,1737,280,173
122,122,Himawari!,910/Himawari,2006,Spring,TV,13,24 mins,Finished,3546,58%,9,Arms,Original,"Adventure,Comedy",1846,1197,237,133
123,123,The Third: Aoi Hitomi no Shoujo,944/The-Third-Aoi-Hitomi-no-Shoujo,2006,Spring,TV,24,23 mins,Finished,2845,69%,13,Xebec,Light Novel,"Action,Adventure,Sci-Fi",1450,1011,156,123
124,124,Soul Link,854/Soul-Link,2006,Spring,TV,12,25 mins,Finished,2829,56%,11,NaN,Visual Novel,"Action,Adventure,Comedy,Romance,Sci-Fi",1282,1204,166,102
125,125,Nishi no Yoki Majo: Astraea Testament,942/Nishi-no-Yoki-Majo-Astraea-Testament,2006,Spring,TV,13,24 mins,Finished,2430,59%,20,Hal Film Maker,Light Novel,"Comedy,Drama,Fantasy,Mystery,Romance",1282,849,117,102
126,126,RAY THE ANIMATION,919/RAY-THE-ANIMATION,2006,Spring,TV,13,24 mins,Finished,2386,62%,9,OLM,Manga,"Drama,Romance,Sci-Fi",1431,688,109,89
127,127,Black Jack 21,2214/Black-Jack-21,2006,Spring,TV,17,24 mins,Finished,2072,73%,18,Tezuka Productions,Manga,"Action,Drama",975,909,92,49
128,128,Glass no Kantai: La legende du vent de l'univers,20562/Glass-no-Kantai-La-legende-du-vent-de-lunivers,2006,Spring,TV,24,24 mins,Finished,1722,57%,12,GONZO,Original,"Adventure,Sci-Fi",1046,437,107,71
129,129,Yume Tsukai,943/Yume-Tsukai,2006,Spring,TV,12,24 mins,Finished,1721,56%,6,MADHOUSE,Manga,"Comedy,Drama,Fantasy,Slice of Life",1036,468,103,63
130,130,Spider Riders: Oracle no Yuusha-tachi,2619/Spider-Riders-Oracle-no-Yuushatachi,2006,Spring,TV,26,20 mins,Finished,1682,62%,23,Bee Train,Novel,"Action,Adventure,Mecha",951,491,117,62
131,131,Sasami☆Mahou Shoujo Club,1881/SasamiMahou-Shoujo-Club,2006,Spring,TV,13,25 mins,Finished,1531,58%,6,NaN,Original,"Fantasy,Mahou Shoujo",829,501,78,76
132,132,IGPX Immortal Grand Prix 2,1410/IGPX-Immortal-Grand-Prix-2,2006,Spring,TV,13,23 mins,Finished,1526,69%,9,NaN,Original,"Mecha,Sci-Fi,Sports",969,460,39,34
133,133,MUSASHI: GUN-dou,1200/MUSASHI-GUNdou,2006,Spring,TV,26,24 mins,Finished,1460,42%,11,NaN,Original,"Adventure,Fantasy",1003,193,125,70
134,134,Love Get Chu,1070/Love-Get-Chu,2006,Spring,TV,25,24 mins,Finished,1293,58%,3,Radix,Visual Novel,"Comedy,Romance",745,350,74,70
